Player Name,Position,Number,Age
David Raya,GK,1,30
William Saliba,CB,2,24
Cristhian Mosquera,CB,3,21
Ben White,RB,4,28
Piero Hincapié,CB,5,23
Gabriel Magalhães,CB,6,27
Bukayo Saka,RW,7,24
Martin Ødegaard,AM,8,26
Gabriel Jesus,CF,9,28
Eberechi Eze,AM,10,27
Gabriel Martinelli,LW,11,24
Jurriën Timber,RB,12,24
Kepa Arrizabalaga,GK,13,31
Viktor Gyökeres,CF,14,27
Christian Nørgaard,DM,16,31
Leandro Trossard,LW,19,30
Noni Madueke,RW,20,23
Ethan Nwaneri,AM,22,18
Mikel Merino,CM,23,29
Kai Havertz,CF,29,26
Riccardo Calafiori,LB,33,23
Martín Zubimendi,DM,36,26
Declan Rice,CM,41,26
Myles Lewis-Skelly,LB,49,19
Max Dowman,RW,56,15
Raheem Sterling,RW,30,30
