Player Name,Position,Number,Age
Emiliano Martï¿½ï¿,GK,23,33
Marco Bizot,GK,40,34
Matty Cash,RB,2,28
Victor Lindelï¿½,CB,3,31
Ezri Konsa,CB,4,27
Tyrone Mings,CB,5,32
Lucas Digne,LB,12,32
Pau Torres,CB,14,28
Andrï¿½ï¿½s Gar,RB,16,22
Ian Maatsen,LB,22,23
Ross Barkley,CM,6,31
John McGinn,CM,7,30
Youri Tielemans,CM,8,28
Harvey Elliott,AM,9,22
Emiliano Buendï¿½,AM,10,28
Donyell Malen,RW,17,26
Jadon Sancho,LW,19,25
Amadou Onana,DM,24,24
Lamare Bogarde,DM,26,21
Morgan Rogers,AM,27,23
Boubacar Kamara,DM,44,25
Ollie Watkins,ST,11,29
Evann Guessand,ST,29,24
