Player Name,Position,Number,Age
Bart Verbruggen,GK,1,23
Jason Steele,GK,23,35
Tom McGill,GK,38,25
Lewis Dunk,CB,5,33
Jan Paul van Hecke,CB,6,25
Olivier Boscagli,CB,21,27
Adam Webster,CB,4,30
Diego Coppola,CB,42,21
Ferdi Kadıoğlu,LB,24,26
Maxim De Cuyper,LB,29,24
Joël Veltman,RB,34,33
Jack Hinshelwood,RB,13,20
Carlos Baleba,CM,17,21
Mats Wieffer,CM,27,25
Yasin Ayari,CM,26,22
Diego Gómez,CM,25,22
James Milner,CM,20,39
Kaoru Mitoma,LW,22,28
Tom Watson,LW,14,19
Yankuba Minteh,RW,11,21
Brajan Gruda,RW,8,21
Solly March,RW,7,31
Georginio Rutter,AM,10,23
Charalampos Kostoulas,AM,19,18
Stefanos Tzimas,CF,9,19
Danny Welbeck,CF,18,34
Harry Howell,MF / FW,53,17
Freddie Simmonds,DF,71,17
Nehemiah Oriola,FW,58,17
