Player Name,Position,Number,Age
Đorđe Petrović,GK,1,26
Will Dennis,GK,40,25
Callan McKenna,GK,46,21
Julián Araujo,RB,2,24
Adrien Truffert,LB,3,24
Marcos Senesi,CB,5,28
Julio Soler,DF,6,25
Adam Smith,RB,15,34
Bafodé Diakité,CB,18,24
Álex Jiménez,RB,20,20
James Hill,CB,23,23
Owen Bevan,CB,35,22
Veljko Milosavljevic,CB,44,21
Lewis Cook,CM,4,28
David Brooks,AM,7,32
Alex Scott,CM,8,22
Ryan Christie,AM,10,30
Tyler Adams,DM,12,26
Marcus Tavernier,Winger,16,26
Evanilson,ST,9,26
Ben Gannon-Doak,Winger,11,19
Justin Kluivert,Winger,19,26
Amine Adli,Winger,21,25
Eli Kroupi (Junior Kroupi),ST,22,19
Antoine Semenyo,ST,24,25
Enes Ünal,ST,26,28
