Player Name,Position,Number,Age
Caoimhín Kelleher,GK,1,26
Aaron Hickey,RB,2,23
Rico Henry,LB,3,28
Sepp van den Berg,CB,4,23
Ethan Pinnock,CB,5,32
Jordan Henderson,CM,6,35
Kevin Schade,LW,7,23
Mathias Jensen,CM,8,29
Igor Thiago,CF,9,24
Reiss Nelson,LW,11,25
Hákon Valdimarsson,GK,12,23
Matthew Cox,GK,13,22
Fábio Carvalho,AM,14,23
Frank Onyeka,CM,15,27
Antoni Milambo,AM,17,20
Yehor Yarmoliuk,CM,18,21
Dango Ouattara,LW,19,23
Kristoffer Ajer,CB,20,27
Nathan Collins,CB,22,24
Keane Lewis-Potter,LW,23,24
Mikkel Damsgaard,AM,24,25
Myles Peart-Harris,AM,25,23
Yunus Emre Konak,CM,26,19
Vitaly Janelt,CM,27,27
Ellery Balcombe,GK,31,25
Paris Maghoma,CM,32,24
Michael Kayode,RB,33,21
Gustavo Nunes,LW,39,19
Julian Eyestone,GK,41,19
Benjamin Arthur,CB,43,20
Romelle Donovan,RW,45,18
