Player Name,Position,Number,Age
Martin Dúbravka,GK,1,36
Max Weiß,GK,13,21
Václav Hladký,GK,32,34
Quilindschy Hartman,LB,3,23
Joe Worrall,CB,4,28
Maxime Estève,CB,5,23
Axel Tuanzebe,CB,6,27
Kyle Walker,RB,2,35
Bashir Humphreys,CB,12,22
Connor Roberts,RB,14,30
Hjalmar Ekdal,CB,18,26
Oliver Sonne,RB,22,24
Lucas Pires,LB,23,24
Jordan Beyer,CB,36,25
Lesley Ugochukwu,DM,8,21
Marcus Edwards,RW,10,26
Florentino Luís,DM,16,26
Zian Flemming,CM/CF,19,27
Josh Cullen,DM,24,29
Hannibal Mejbri,AM,28,22
Josh Laurent,CM,29,30
Mike Trésor,AM,31,26
Jacob Bruun Larsen,LW,7,27
Lyle Foster,ST,9,25
Jaidon Anthony,LW,11,25
Loum Tchaouna,RW,17,22
Zeki Amdouni,CF,25,24
Armando Broja,CF,27,24
