Player Name,Position,Number,Age
Robert Sánchez,GK,1,27
Filip Jørgensen,GK,12,23
Gabriel Slonina,GK,44,21
Tosin Adarabioyo,CB,4,28
Benoît Badiashile,CB,5,24
Levi Colwill,CB,6,22
Trevoh Chalobah,CB,23,26
Wesley Fofana,CB,29,24
Marc Cucurella,LB,3,27
Jorrel Hato,LB,21,19
Reece James,RB,24,25
Malo Gusto,RB,27,22
Josh Acheampong,RB,34,19
Enzo Fernández,CM,8,24
Moisés Caicedo,CM,25,23
Roméo Lavia,CM,45,21
Andrey Santos,CM,17,21
Dário Essugo,CM,14,20
Cole Palmer,AM,10,23
Facundo Buonanotte,AM,40,20
Pedro Neto,RW,7,25
Jamie Gittens,LW,11,21
Alejandro Garnacho,LW,49,21
Tyrique George,LW,32,19
Estêvão,RW,41,18
João Pedro,CF,20,24
Liam Delap,CF,9,22
Marc Guiu,CF,38,19
