Player Name,Position,Number,Age
Dean Henderson,GK,1,28
Daniel Muñoz,RB,2,29
Tyrick Mitchell,LB,3,26
Maxence Lacroix,CB,5,25
Marc Guéhi,CB,6,25
Ismaïla Sarr,RW,7,27
Jefferson Lerma,DM,8,30
Eddie Nketiah,CF,9,26
Yéremy Pino,RW,10,22
Christantus Uche,CF,12,22
Jean-Philippe Mateta,CF,14,28
Nathaniel Clyne,RB,17,34
Daichi Kamada,AM,18,29
Will Hughes,CM,19,30
Adam Wharton,DM,20,21
Romain Esse,RW,21,20
Jaydee Canvot,CB,23,19
Borna Sosa,LB,24,27
Chris Richards,CB,26,25
Cheick Doucouré,DM,28,25
Naouirou Ahamada,CM,29,23
Remi Matthews,GK,31,31
Chadi Riad,CB,34,22
Caleb Kporha,RB,38,19
Kaden Rodney,MF,42,21
Walter Benítez,GK,44,32
Justin Devenny,AM,55,22
Rio Cardines,LB,59,19
