Player Name,Position,Number,Age
Jordan Pickford,GK,1,31
Nathan Patterson,RB,2,23
Michael Keane,CB,5,32
James Tarkowski,CB,6,32
Dwight McNeil,LW,7,25
Beto,CF,9,27
Iliman Ndiaye,RW,10,25
Thierno Barry,CF,11,22
Mark Travers,GK,12,26
Jake O'Brien,CB,15,24
Vitalii Mykolenko,LB,16,26
Jack Grealish,AM,18,30
Tyler Dibling,RW,20,19
Kiernan Dewsbury-Hall,CM,22,27
Séamus Coleman,RB,23,36
Charly Alcaraz,CM,24,22
Idrissa Gana Gueye,DM,27,36
Tom King,GK,31,30
Jarrad Branthwaite,CB,32,23
Merlin Röhl,CM,34,23
James Garner,DM,37,24
Adam Aznou,LB,39,19
Tim Iroegbunam,CM,42,22
Harry Tyrer,GK,53,23
