Player Name,Position,Number,Age
Bernd Leno,GK,1,33
Benjamin Lecomte,GK,23,34
Kenny Tete,Defender,2,29
Calvin Bassey,Defender,3,25
Joachim Andersen,Defender,5,29
Jorge Cuenca,Defender,15,25
Timothy Castagne,Defender,21,30
Issa Diop,Defender,31,28
Antonee Robinson,Defender,33,28
Harrison Reed,Midfielder,6,30
Tom Cairney,Midfielder,10,34
Sander Berge,Midfielder,16,27
Andreas Pereira,Midfielder,18,29
Saša Lukić,Midfielder,20,29
Josh King,Midfielder,24,33
Ryan Sessegnon,Midfielder,30,25
Emile Smith Rowe,Midfielder,32,25
Raúl Jiménez,Forward,7,34
Harry Wilson,Forward,8,28
Rodrigo Muniz,Forward,9,24
Adama Traoré,Forward,11,29
Alex Iwobi,Forward,17,29
Martial Godo,Forward,27,22
