Player Name,Position,Number,Age
Lucas Perri,GK,1,27
Illan Meslier,GK,16,25
Alex Cairns,GK,21,32
Karl Darlow,GK,26,35
Jayden Bogle,RB,2,25
Gabriel Gudmundsson,LB,3,26
Ethan Ampadu,CB/DM,4,25
Pascal Struijk,CB,5,26
Joe Rodon,CB,6,27
Jaka Bijol,CB,15,26
Sebastiaan Bornauw,CB,23,26
James Justin,RB,24,27
Sam Byram,LB,25,32
Sean Longstaff,CM,8,27
Brenden Aaronson,AM,11,24
Anton Stach,DM,18,26
Ao Tanaka,CM,22,27
Sam Chambers,AM,42,18
Ilia Gruev,DM,44,25
Daniel James,RW,7,27
Dominic Calvert-Lewin,CF,9,28
Joël Piroe,CF,10,26
Lukas Nmecha,CF,14,26
Noah Okafor,Winger,19,25
Jack Harrison,LW,20,28
Wilfried Gnonto,RW,29,21
