Player Name,Position,Number,Age
Alisson Becker,GK,1,33
Joe Gomez,CB,2,28
Wataru Endo,DM,3,32
Virgil van Dijk,CB,4,34
Ibrahima Konaté,CB,5,26
Milos Kerkez,LB,6,21
Florian Wirtz,AM,7,22
Dominik Szoboszlai,AM,8,24
Alexander Isak,CF,9,26
Alexis Mac Allister,CM,10,26
Mohamed Salah,RW,11,33
Conor Bradley,RB,12,22
Federico Chiesa,RW,14,27
Giovanni Leoni,CB,15,18
Curtis Jones,CM,17,24
Cody Gakpo,LW,18,26
Hugo Ekitiké,CF,22,23
Giorgi Mamardashvili,GK,25,25
Andrew Robertson,LB,26,31
Freddie Woodman,GK,28,28
Jeremie Frimpong,RB,30,24
Ryan Gravenberch,DM,38,23
Ármin Pécsi,GK,41,20
Trey Nyoni,CM,42,18
Stefan Bajčetić,DM,43,20
Rhys Williams,CB,46,24
Calvin Ramsay,RB,47,22
Rio Ngumoha,LW,73,17
