Player Name,Position,Number,Age
James Trafford,GK,1,23
Rúben Dias,CB,3,28
Tijjani Reijnders,CM,4,27
John Stones,CB,5,31
Nathan Aké,CB,6,30
Omar Marmoush,CF,7,26
Mateo Kovačić,CM,8,31
Erling Haaland,CF,9,25
Rayan Cherki,AM,10,22
Jérémy Doku,LW,11,23
Marcus Bettinelli,GK,13,33
Nico González,DM,14,23
Rodri,DM,16,29
Stefan Ortega,GK,18,32
Bernardo Silva,AM,20,31
Rayan Aït-Nouri,LB,21,24
Joško Gvardiol,CB,24,23
Gianluigi Donnarumma,GK,25,26
Savinho,RW,26,21
Matheus Nunes,CM,27,27
Nico O'Reilly,LB,33,20
Kalvin Phillips,DM,44,29
Abdukodir Khusanov,CB,45,21
Phil Foden,AM,47,25
Oscar Bobb,RW,52,22
Rico Lewis,RB,82,20
