Player Name,Position,Number,Age
Altay Bayındır,GK,1,27
Tom Heaton,GK,22,39
Senne Lammens,GK,31,23
Diogo Dalot,RB,2,26
Noussair Mazraoui,RB,3,27
Matthijs de Ligt,CB,4,26
Harry Maguire,CB,5,32
Lisandro Martínez,CB,6,27
Tyrell Malacia,LB,12,26
Patrick Dorgu,LB,13,20
Leny Yoro,CB,15,19
Luke Shaw,LB,23,30
Ayden Heaven,CB,26,19
Mason Mount,AM,7,26
Bruno Fernandes,AM,8,31
Casemiro,DM,18,33
Manuel Ugarte,DM,25,24
Kobbie Mainoo,CM,37,20
Matheus Cunha,ST,10,26
Joshua Zirkzee,CF,11,24
Amad Diallo,RW,16,23
Bryan Mbeumo,RW,19,26
Benjamin Sesko,CF,30,22
Chido Obi,CF,32,17
