Player Name,Position,Number,Age
Nick Pope,GK,1,34
John Ruddy,GK,26,39
Mark Gillespie,GK,29,34
Aaron Ramsdale,GK,32,27
Kieran Trippier,RB,2,35
Lewis Hall,LB,3,21
Sven Botman,CB,4,26
Fabian Schär,CB,5,33
Jamaal Lascelles,CB,6,31
Malick Thiaw,CB,12,24
Emil Krafth,RB,17,31
Tino Livramento,RB,21,22
Dan Burn,CB/LB,33,33
Bruno Guimarães,CM/DM,39,27
Joelinton,CM/LW,7,29
Sandro Tonali,DM/CM,8,26
Anthony Gordon,LW/RW,10,24
Harvey Barnes,LW,11,27
Anthony Elanga,RW/LW,20,23
Jacob Murphy,RW,23,30
Joe Willock,CM,28,26
Jacob Ramsey,CM,41,24
Lewis Miley,CM/DM,67,19
Yoane Wissa,ST/LW,9,29
William Osula,ST,18,22
Nick Woltemade,ST,27,23
