Player Name,Position,Number,Age
Matz Sels,GK,26,33
John Victor,GK,13,29
Angus Gunn,GK,18,29
Murillo,CB,5,23
Nikola Milenković,CB,31,28
Morato,CB,4,24
Jair Cunha,CB,23,20
Willy Boly,CB,30,34
Neco Williams,RB,3,24
Ola Aina,RB,34,29
Nicolò Savona,RB,37,22
Oleksandr Zinchenko,LB,35,28
Ibrahim Sangaré,DM,6,27
Douglas Luiz,CM,12,27
Nicolás Domínguez,CM,16,27
Ryan Yates,CM,22,27
Elliot Anderson,CM,8,22
Morgan Gibbs-White,AM,10,25
James McAtee,AM,24,23
Omari Hutchinson,RW,21,21
Callum Hudson-Odoi,LW,7,24
Dan Ndoye,RW,14,24
Dilane Bakwa,RW,29,23
Taiwo Awoniyi,CF,9,28
Chris Wood,CF,11,33
Arnaud Kalimuendo,CF,15,23
Igor Jesus,CF,19,24
Zach Abbott,CB,44,19
