Player Name,Position,Number,Age
Anthony Patterson,GK,1,25
Robin Roefs,GK,22,23
Dennis Cirkin,LB,3,23
Dan Ballard,CB,5,25
Lutsharel Geertruida,CB/RB,6,25
Luke O'Nien,CB/CM,13,31
Omar Alderete,CB,15,28
Reinildo Mandava,LB,17,31
Nordi Mukiele,RB/DF,20,27
Arthur Masuaku,DF,26,31
Trai Hume,RB,32,23
Leo Hjelde,CB/LB,33,22
Dan Neil,CM,4,23
Chris Rigg,CM,11,18
Habib Diarra,DM,19,21
Noah Sadiki,CM,27,21
Enzo Le Fï¿½,CM,28,25
Granit Xhaka,CM,34,33
Chemsdine Talbi,Winger,7,20
Brian Brobbey,ST,9,23
Eliezer Mayenda,ST,12,20
Romaine Mundle,Winger,14,22
Wilson Isidor,ST,18,25
Simon Adingra,Winger,24,23
Bertrand Traorï¿,Winger,25,30
